#Table1
RA DEC zGAL mag_r mag_g mag_z R50_r
192.64648 31.990601 0 17.58533 18.03929 17.26561 1.618658
191.94066 32.076756 0 18.75332 19.0311 18.6335 0.8364424
188.27685 32.09097 0.003051151 15.49172 15.52827 16.051 4.461046
181.32218 32.069104 0 17.54498 18.76271 16.67941 1.708538
181.29119 32.084048 0 16.77485 17.99277 15.95835 2.175635
186.45361 33.546871 0.001063667 13.71323 14.25282 14.34932 20.96318
204.04089 31.302163 0 19.00932 20.63689 17.88394 1.769303
203.95182 31.497208 0 19.11 20.80939 18.13847 1.793802
198.00402 31.650807 0 17.51634 18.98919 16.7827 2.802426
191.94838 32.12918 0 17.53125 18.51274 16.81945 2.945657
186.42715 32.333568 0 16.32378 17.19465 15.60327 2.816945
194.67455 31.646546 0 17.77335 18.70448 16.98552 1.234614
187.53998 31.929453 0 18.87896 19.1248 18.84659 0.6585617
186.20192 34.648341 0 17.89263 18.2872 17.39656 1.173837
201.45594 33.065106 0.01462014 16.75831 16.71147 16.72936 1.240369
188.90582 34.239713 0 16.20225 16.48156 16.04915 0.5563104
190.27263 36.11272 0 19.62448 21.09848 18.48364 0.731403
198.69736 34.883283 0.002884624 17.15919 16.81415 18.05982 0.7892536
192.33428 35.526464 0 16.37539 16.70831 16.2139 0.7045641
180.22785 34.450643 0 17.42711 18.25014 16.71569 2.328549
198.32692 36.20294 0.003120718 15.23149 15.02497 30.06384 24.43851
198.54095 35.781433 0 19.67909 21.83339 18.28078 1.663382
193.6836 37.853632 0 19.90003 20.32623 20.10639 0.6663809
184.29034 37.748237 0.001136702 16.74026 16.54901 17.5812 2.248208
203.20795 36.701096 0 16.27279 16.51974 16.17425 0.7371405
